Engenharia Informática (9119/9885);;
Unidade Curricular;Área Científica;Departamento
1.º Ano (1º Semestre);;
Análise Matemática;CB;DMAT
Álgebra Linear;CB;DMAT
Física;CB;DEE
Programação I;CE;DEI
Tecnologia de Computadores;CE;DEI
Introdução à Engenharia Informática;CE;DEI
1.º Ano (2º Semestre);;
Matemática Discreta;CB;DMAT
Estatística;CB;DMAT
Programação II;CE;DEI
Arquitetura de Computadores;CE;DEI
Sistemas Operativos;CE;DEI
Inglês;CC;DCL
2.º Ano (3º Semestre);;
Desenho da Interação;EI-TIC;DEI
Engenharia de Software I;EI-SI;DEI
Bases de Dados;CE;DEI
Redes de Computadores;CE;DEI
Programação Avançada;EI-SI;DEI
2.º Ano (4º Semestre);;
Aplicações para a Internet;EI-TIC;DEI
Engenharia de Software II;EI-SI;DEI
Inteligência Artificial;EI-SI;DEI
Sistemas de Bases de Dados;EI-SI;DEI
Sistemas de Apoio à Decisão;EI-SI;DEI
Sistemas Multimédia;EI-TIC;DEI
Redes de Dados;EI-TIC;DEI
Gestão e Administração de Redes e Serviços;EI-TIC;DEI
3.º Ano (5º Semestre);;
Desenvolvimento de Aplicações Distribuídas;EI-TIC;DEI
Integração de Sistemas;EI-SI;DEI
Segurança da Informação;EI-SI;DEI
Desenvolvimento de Aplicações Empresariais;EI-SI;DEI
Engenharia do Conhecimento;EI-SI;DEI
Serviços Multimédia;EI-TIC;DEI
Tópicos Avançados de Redes;EI-TIC;DEI
Segurança de Sistemas;EI-TIC;DEI
3.º Ano (6º Semestre);;
Seminário;CC;DEI
Inovação e Empreendedorismo;CC;DGE
Projeto Informático;EI-SI;DEI
Sistemas de Informação Empresariais;EI-SI;DEI
Projeto Informático;EI-TIC;DEI
Planeamento de Redes Informáticas;EI-TIC;DEI
