Jogos Digitais e Multimédia (2097);;
Unidade Curricular;Área Científica;Departamento
1.º Ano (1º Semestre);;
Introdução aos Jogos Digitais;M;DEI
Conceção de Jogos;M;DEI
Introdução à Programação;CI;DEI
Fundamentos Matemáticos para Jogos;CM;DMAT
Fotografia e Tratamento de Imagem;AV;DEI
Inglês;CC;DCL
1.º Ano (2º Semestre);;
Programação de Jogos;CI;DEI
Ilustração e Animação Digital;AV;DEI
Tecnologia Informática e de Comunicações;CI;DEI
Design Gráfico;AV;DEI
Projeto de Jogos 2D;M;DEI
2.º Ano (3º Semestre);;
Modelação 3D;M;DEI
Tecnologias de Vídeo;M;DEI
Motores de Jogos I;CI;DEI
Desenvolvimento Web;CI;DEI
Tecnologias Áudio;M;DEI
2.º Ano (4º Semestre);;
Simulação e Animação 3D;M;DEI
Motores de Jogos II;CI;DEI
Técnicas de Interação Multimédia;CI;DEI
Gestão de Projeto Multimédia;M;DEI
Projeto de Jogos 3D;M;DEI
3.º Ano (5º Semestre);;
Cinema;CC;DEI
Arte Digital para Jogos;AV;DEI
Efeitos Visuais;M;DEI
Ludificação e Redes Sociais;CI;DEI
Computação Gráfica;CI;DEI
Tópicos Avançados de Programação de Jogos;CI;DEI
Inteligência Artificial Aplicada aos Jogos;CI;DEI
3.º Ano (6º Semestre);;
Empreendedorismo e Marketing Aplicado ao Entretenimento;CC;DGE
Projeto Final;M;DEI
Estágio;M;DEI
